cause,value_agg_over_race_county,samples
_all,103.96220270932926,1
_all,103.20203435279636,2
_all,104.15044228280105,11
_all,100.90554062082819,12
_all,102.40924073836125,13
_all,104.56873678175964,14
_all,103.28345057524663,15
_all,103.12584148737196,16
_all,104.58332004448381,17
_all,102.34111601539826,18
_all,101.03560251452733,19
_all,100.9459193434585,20
_all,104.6212566765541,3
_all,107.00996524394012,21
_all,105.17326522192053,22
_all,103.17292174886508,23
_all,103.84186414761567,24
_all,103.70334757110182,25
_all,103.33712906150032,26
_all,102.94719464351793,27
_all,105.55624164767033,28
_all,102.6937302901682,29
_all,105.084389214476,30
_all,105.03890562801426,4
_all,101.51926182544207,31
_all,101.68814263173493,32
_all,103.02163980519602,33
_all,103.13207529632007,34
_all,104.23946364556433,35
_all,104.17678023374081,36
_all,105.00906800792202,37
_all,103.0893626862626,38
_all,104.98465813682078,39
_all,102.65430052884938,40
_all,104.01363722183234,5
_all,103.90903661596185,41
_all,105.15638261944879,42
_all,102.32517878011433,43
_all,102.2132643453744,44
_all,105.64785359119566,45
_all,102.26453475686102,46
_all,102.55471948700554,47
_all,102.85659059935048,48
_all,102.78648531606495,49
_all,103.31573782836274,50
_all,101.11271117844923,6
_all,103.4971716779873,51
_all,104.18348611716334,52
_all,103.4023944271513,53
_all,103.5500519407656,54
_all,105.19329502203635,55
_all,104.69204104530715,56
_all,103.66462574096795,57
_all,102.717310986809,58
_all,102.07535292552289,59
_all,104.07676036126111,60
_all,104.66202223275859,7
_all,106.10855950166854,61
_all,102.78602023658719,62
_all,106.55192826133583,63
_all,104.42383271931064,64
_all,103.83853217862739,65
_all,102.08968420997805,66
_all,102.89596032015358,67
_all,103.14428837002276,68
_all,101.7099892314049,69
_all,106.32393386449678,70
_all,102.93467912703278,8
_all,102.95874330736541,71
_all,103.71594129578331,72
_all,104.31986381577644,73
_all,103.15371820256678,74
_all,103.13846681801579,75
_all,102.36710673145328,76
_all,105.08390417883595,77
_all,103.72752707987456,78
_all,103.74709820837148,79
_all,103.39877357708752,80
_all,103.82943770211784,9
_all,105.1177573843258,81
_all,103.7183011024976,82
_all,103.13743402634626,83
_all,101.26845944306586,84
_all,104.25579163963953,85
_all,104.25012917946627,86
_all,105.28289692986203,87
_all,105.08743979260862,88
_all,103.94532321314384,89
_all,103.00736568872452,90
_all,103.83007037510365,10
_all,100.59960366106188,91
_all,106.19651274421672,92
_all,103.48366853639845,93
_all,102.42279705237449,94
_all,103.78118619187693,95
_all,102.2950861689191,96
_all,104.05417241199665,97
_all,103.3981611866203,98
_all,102.47007287248502,99
_all,103.21853902370194,100
_comm,3.5968408753265955,1
_comm,3.51428721771062,2
_comm,3.6563915482367477,11
_comm,3.305723675418648,12
_comm,3.679897393693131,13
_comm,3.6100566077775076,14
_comm,3.5047269745056004,15
_comm,3.5479399989407927,16
_comm,3.6062788880742227,17
_comm,3.4253482797181674,18
_comm,3.3789223295046003,19
_comm,3.4347385965855124,20
_comm,3.4331735787205,3
_comm,3.5333361655045596,21
_comm,3.586346587752029,22
_comm,3.586324855109074,23
_comm,3.479980165528043,24
_comm,3.5081709462307415,25
_comm,3.4107746201421385,26
_comm,3.6334247389878946,27
_comm,3.651598901024181,28
_comm,3.4704386571750048,29
_comm,3.4918574573049366,30
_comm,3.562671072283,4
_comm,3.4700778228328812,31
_comm,3.538781175004903,32
_comm,3.5500154506540813,33
_comm,3.3107690757452186,34
_comm,3.60793917169977,35
_comm,3.493834256577542,36
_comm,3.582989895547173,37
_comm,3.4812625374462334,38
_comm,3.5182426128148667,39
_comm,3.4265284587636526,40
_comm,3.6579388779875686,5
_comm,3.4155898359137806,41
_comm,3.3697352502561535,42
_comm,3.495680817500228,43
_comm,3.4635320870915702,44
_comm,3.6126981168158654,45
_comm,3.547159018774385,46
_comm,3.446279887665162,47
_comm,3.267449023439373,48
_comm,3.5037485835595845,49
_comm,3.356481690173168,50
_comm,3.563336175510285,6
_comm,3.4729830668082995,51
_comm,3.4452785294857184,52
_comm,3.3904727169395215,53
_comm,3.327406034264632,54
_comm,3.6419317131411564,55
_comm,3.409157388598758,56
_comm,3.7980969911392783,57
_comm,3.5820692943443677,58
_comm,3.3761034567023156,59
_comm,3.7700948027604126,60
_comm,3.4361747238391427,7
_comm,3.587167743544617,61
_comm,3.7435853649029704,62
_comm,3.5293805907130387,63
_comm,3.550853601034015,64
_comm,3.637147930216943,65
_comm,3.453151995671619,66
_comm,3.4374539511283144,67
_comm,3.3984182181951477,68
_comm,3.489139028773015,69
_comm,3.537116933230796,70
_comm,3.437558883046176,8
_comm,3.3813719253960137,71
_comm,3.3949371180985546,72
_comm,3.5293477765022034,73
_comm,3.48160294920092,74
_comm,3.4577706723854638,75
_comm,3.4278595368226092,76
_comm,3.432528526209812,77
_comm,3.581470250167654,78
_comm,3.4489410901848503,79
_comm,3.3472950617807085,80
_comm,3.6301627612505176,9
_comm,3.556908789566478,81
_comm,3.4646830221490026,82
_comm,3.5125290627516215,83
_comm,3.4261920788638474,84
_comm,3.4728665948666286,85
_comm,3.5024885548844136,86
_comm,3.384410276174437,87
_comm,3.6715330912840995,88
_comm,3.351489845268186,89
_comm,3.574835980816932,90
_comm,3.447544575618262,10
_comm,3.4272923062672245,91
_comm,3.650905323303654,92
_comm,3.432018622701852,93
_comm,3.522986511895516,94
_comm,3.571623994021513,95
_comm,3.497591417752347,96
_comm,3.5026157132729523,97
_comm,3.5328551053522514,98
_comm,3.359771316136916,99
_comm,3.5119353404040377,100
_ncd,57.98962582572197,1
_ncd,57.68401306721132,2
_ncd,57.22109986607049,11
_ncd,58.98688127790975,12
_ncd,53.1499604168736,13
_ncd,58.046047188144506,14
_ncd,55.10703702233471,15
_ncd,55.812579927677156,16
_ncd,59.16781395558191,17
_ncd,58.78662794758459,18
_ncd,56.45248709798179,19
_ncd,56.633671580507965,20
_ncd,57.55763471194617,3
_ncd,59.818017383387286,21
_ncd,58.389389103633064,22
_ncd,58.86709333904451,23
_ncd,57.26378174558068,24
_ncd,56.980550355959366,25
_ncd,58.31948060856199,26
_ncd,56.17229331855697,27
_ncd,59.75349493373133,28
_ncd,56.591352512215806,29
_ncd,61.295220893897884,30
_ncd,58.206182933721436,4
_ncd,56.32513022228891,31
_ncd,56.590769258746434,32
_ncd,57.42044749486402,33
_ncd,56.35426950699539,34
_ncd,53.83003603592704,35
_ncd,58.762324338380225,36
_ncd,59.19320310862137,37
_ncd,57.143621957975384,38
_ncd,58.39191957876139,39
_ncd,57.49272562551258,40
_ncd,56.200784344207364,5
_ncd,59.59201347624645,41
_ncd,56.89092896374281,42
_ncd,56.319631023040664,43
_ncd,57.69516696543735,44
_ncd,56.5154023925566,45
_ncd,59.16383005356904,46
_ncd,57.89385627982142,47
_ncd,60.249476422434824,48
_ncd,55.83986760098473,49
_ncd,57.92520588890463,50
_ncd,54.63191514214576,6
_ncd,57.16110656941522,51
_ncd,60.23012594186892,52
_ncd,54.17104165655206,53
_ncd,57.79002228822899,54
_ncd,56.85017352837244,55
_ncd,56.113779334744265,56
_ncd,55.52165808775311,57
_ncd,55.16648609743967,58
_ncd,56.95546987635744,59
_ncd,55.259808849832304,60
_ncd,58.23301029478134,7
_ncd,56.54909430213155,61
_ncd,56.19565342330651,62
_ncd,58.749813600174136,63
_ncd,58.11514545539667,64
_ncd,55.49651508789934,65
_ncd,56.140292653159406,66
_ncd,55.50015270036488,67
_ncd,58.48430717447654,68
_ncd,57.14591748353206,69
_ncd,61.62704409758946,70
_ncd,56.63380869721387,8
_ncd,59.253791277176376,71
_ncd,57.4301646089488,72
_ncd,56.64522456462883,73
_ncd,58.896307032241864,74
_ncd,57.12472053986432,75
_ncd,56.212827728514654,76
_ncd,57.33254762502571,77
_ncd,60.11485824821746,78
_ncd,60.04095196920702,79
_ncd,58.363556206964944,80
_ncd,57.98503629064978,9
_ncd,58.036110787263866,81
_ncd,58.764238974519216,82
_ncd,53.69229154090776,83
_ncd,53.702007449391616,84
_ncd,57.32391383383187,85
_ncd,59.14657110647187,86
_ncd,57.81355996515839,87
_ncd,53.983837165172616,88
_ncd,60.03582393403884,89
_ncd,58.18297254475449,90
_ncd,55.16131533834016,10
_ncd,53.99007390567628,91
_ncd,59.57602586108824,92
_ncd,56.17942008212083,93
_ncd,57.08798014028701,94
_ncd,53.06570567878516,95
_ncd,53.26038223970579,96
_ncd,57.53017421671797,97
_ncd,54.45492821544835,98
_ncd,53.92066470362353,99
_ncd,56.65034189572337,100
_inj,42.3757360082807,1
_inj,42.00373406787443,2
_inj,43.272950868493815,11
_inj,38.6129356674998,12
_inj,45.579382927794526,13
_inj,42.91263298583762,14
_inj,44.67168657840632,15
_inj,43.76532156075401,16
_inj,41.80922720082768,17
_inj,40.129139788095486,18
_inj,41.204193087040935,19
_inj,40.87750916636503,20
_inj,43.63044838588743,3
_inj,43.658611695048265,21
_inj,43.19752953053544,22
_inj,40.719503554711494,23
_inj,43.09810223650695,24
_inj,43.21462626891169,25
_inj,41.60687383279618,26
_inj,43.14147658597307,27
_inj,42.15114781291484,28
_inj,42.6319391207774,29
_inj,40.29731086327319,30
_inj,43.27005162200982,4
_inj,41.724053780320276,31
_inj,41.5585921979836,32
_inj,42.05117685967791,33
_inj,43.467036713579446,34
_inj,46.80148843793753,35
_inj,41.92062163878305,36
_inj,42.23287500375348,37
_inj,42.46447819084099,38
_inj,43.074495945244514,39
_inj,41.735046444573136,40
_inj,44.15491399963739,5
_inj,40.90143330380162,41
_inj,44.89571840544983,42
_inj,42.509866939573435,43
_inj,41.054565292845474,44
_inj,45.5197530818232,45
_inj,39.55354568451759,46
_inj,41.21458331951896,47
_inj,39.3396651534763,48
_inj,43.44286913152066,49
_inj,42.03405024928495,50
_inj,42.917459860793194,6
_inj,42.863082041763796,51
_inj,40.508081645808694,52
_inj,45.84088005365972,53
_inj,42.43262361827198,54
_inj,44.70118978052277,55
_inj,45.169104321964134,56
_inj,44.344870662075564,57
_inj,43.96875559502496,58
_inj,41.74377959246315,59
_inj,45.0468567086684,60
_inj,42.99283721413812,7
_inj,45.97229745599237,61
_inj,42.84678144837771,62
_inj,44.272734070448635,63
_inj,42.75783366287994,64
_inj,44.70486916051111,65
_inj,42.49623956114702,66
_inj,43.9583536686604,67
_inj,41.26156297735108,68
_inj,41.07493271909983,69
_inj,41.15977283367653,70
_inj,42.863311546772735,8
_inj,40.323580104793024,71
_inj,42.890839568735956,72
_inj,44.14529147464542,73
_inj,40.77580822112398,74
_inj,42.555975605765994,75
_inj,42.72641946611603,76
_inj,44.31882802760043,77
_inj,40.031198581489456,78
_inj,40.25720514897962,79
_inj,41.68792230834187,80
_inj,42.21423865021754,9
_inj,43.524737807495455,81
_inj,41.48937910582937,82
_inj,45.93261342268687,83
_inj,44.1402599148104,84
_inj,43.459011210941036,85
_inj,41.601069518109995,86
_inj,44.08492668852921,87
_inj,47.43206953615192,88
_inj,40.55800943383683,89
_inj,41.2495571631531,90
_inj,45.22121046114524,10
_inj,43.182237449118375,91
_inj,42.96958155982481,92
_inj,43.872229831575766,93
_inj,41.811830400191965,94
_inj,47.14385651907026,95
_inj,45.53711251146097,96
_inj,43.021382482005734,97
_inj,45.4103778658197,98
_inj,45.18963685272458,99
_inj,43.05626178757454,100
